Key_category,Key_subcategory,Key,Value,Description,Element
boundary,boundary types,boundary,religious_administration,"A religious administration boundary, eg. of a catholic diocese or parish. Use religion=* and denomination=* to specify the church to which the boundary applies. Some mappers use religious_level=* instead of admin_level=* to specify level in the church hierarchy.",relation
boundary,boundary types,boundary,special_economic_zone,A government-defined area in which business and trade laws are different.,area
boundary,boundary types,boundary,statistical,An official boundary recognised by government for statistical purposes.,area / relation
boundary,boundary types,boundary,disputed,An area of landed claimed by two or more parties (use with caution). See also Disputed territories.,area / relation
boundary,boundary types,boundary,timezone,Boundaries of time zone,relation
boundary,boundary types,boundary,user defined,All commonly used values according to Taginfo,node / way
boundary,attributes,admin_level,(number),"Defines level of the division described by the boundary in the hierarchy system to which the division belongs. Usually in the range 1 to 10 (except for several countries, where it is in the range 1 to 11 – Bolivia, Germany, Mozambique, Netherlands, Philippines, Poland, Turkmenistan, Venezuela – see boundary).",area
boundary,attributes,health_level,(number),Used by some mappers instead of admin_level=* in conjunction with boundary=health and is usually in the range 1 to 10.,area / relation
boundary,attributes,postal_code_level,(number),Used by some mappers instead of admin_level=* in conjunction with boundary=postal_code and is usually in the range 1 to 10.,relation
boundary,attributes,religious_level,(number),Used by some mappers instead of admin_level=* in conjunction with boundary=religious_administration and is usually in the range 1 to 10.,relation
boundary,attributes,border_type,*,To distinguish between types of boundary where admin_level isn't enough. Used in several different ways e.g in maritime contexts.,way / area
boundary,attributes,start_date,(date),Useful if the boundary is very recent (or if it will become effective in a near future).,area
building,accommodation,building,apartments,"A building arranged into individual dwellings, often on separate floors. May also have retail outlets on the ground floor.",None
building,accommodation,building,barracks,Buildings built to house military personnel or laborers.,None
building,accommodation,building,bungalow,"A single-storey detached small house, Dacha.",None
building,accommodation,building,cabin,"A cabin is a small, roughly built house usually with a wood exterior and typically found in rural areas.",None
building,accommodation,building,detached,"A detached house, a free-standing residential building usually housing a single family.",None
building,accommodation,building,annexe,"An annexe is a small self contained apartments, collages, or small residential building on the same property as the main residential unit.",None
