Tag;Tag_depth;Depth_1;Depth_2;Depth_3;Description;Element
detached;3;building;accommodation;detached;A detached house, a free-standing residential building usually housing a single family.;
annexe;3;building;accommodation;annexe;An annexe is a small self contained apartments, collages, or small residential building on the same property as the main residential unit.;
dormitory;3;building;accommodation;dormitory;A shared building intended for college/university students (not a share room for multiple occupants as implied by the term in British English). Alternatively, use building=residential plus residential=university and loose the information that it is for students.;
farm;3;building;accommodation;farm;A residential building on a farm (farmhouse). For other buildings see below building=farm_auxiliary, building=barn, … If in your country farmhouse looks same as general residential house then you can tag as building=house as well. See also landuse=farmyard for the surrounding area;
ger;3;building;accommodation;ger;A permanent or seasonal round yurt or ger.;
hotel;3;building;accommodation;hotel;A building designed with separate rooms available for overnight accommodation. Normally used in conjunction with tourism=hotel for the hotel grounds including recreation areas and parking.;
house;3;building;accommodation;house;A dwelling unit inhabited by a single household (a family or small group sharing facilities such as a kitchen). Houses forming half of a semi-detached pair, or one of a row of terraced houses, should share at least two nodes with joined neighbours, thereby defining the party wall between the properties.;
houseboat;3;building;accommodation;houseboat;A boat used primarily as a home;
residential;3;building;accommodation;residential;A general tag for a building used primarily for residential purposes. Where additional detail is available consider using 'apartments', 'terrace', 'house', 'detached' or 'semidetached_house'.;
semidetached house;3;building;accommodation;semidetached house;"A residential house that shares a common wall with another on one side. Typically called a ""duplex"" in American English.";
static caravan;3;building;accommodation;static caravan;A mobile home (semi)permanently left on a single site;
stilt house;3;building;accommodation;stilt house;A building raised on piles over the surface of the soil or a body of water;
terrace;3;building;accommodation;terrace;"A single way used to define the outline of a linear row of residential dwellings, each of which normally has its own entrance, which form a terrace (""row-house"" or ""townhouse"" in North American English). Consider defining each dwelling separately using 'house'.";
tree house;3;building;accommodation;tree house;An accommodation, often designed as a small hut, sometimes also as a room or small apartment. Built on tree posts or on a natural tree. A tree house has no contact with the ground. Access via ladders, stairs or bridgeways.;
trullo;3;building;accommodation;trullo;A stone hut with a conical roof.;
commercial;2;building;commercial;;A building for non-specific commercial activities, not necessarily an office building. Consider tagging the surrounding area using landuse=commercial if there is such use. Use 'retail' if the building consists primarily of shops.;
industrial;3;building;commercial;industrial;A building for industrial purposes. Use warehouse if the purpose is known to be primarily for storage/distribution. Consider using landuse=industrial for the surrounding area and appropriate tags like man_made=works to describe the industrial activity.;
kiosk;3;building;commercial;kiosk;A small one-room retail building.;
office;3;building;commercial;office;An office building. Use office=* where applicable for the business(es) that use the building. Consider tagging the surrounding area using landuse=commercial if it applies. Prefer landuse=retail if the building consists primarily of shops.;
retail;3;building;commercial;retail;"A building primarily used for selling goods that are sold to the public; use shop=* to identify the sort of goods sold or an appropriate amenity=* (pub, cafe, restaurant, etc.). Consider use landuse=retail for the surrounding area.";
supermarket;3;building;commercial;supermarket;A building constructed to house a self-service large-area store.;
warehouse;3;building;commercial;warehouse;A building primarily intended for the storage or goods or as part of a distribution system.;
religious;2;building;religious;;Unspecific building related to religion. Prefer more specific values if possible.;
cathedral;3;building;religious;cathedral;A building that was built as a cathedral. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the cathedral grounds where it is in current use.;
chapel;3;building;religious;chapel;A building that was built as a chapel. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the chapel grounds where it is in current use.;
church;3;building;religious;church;A building that was built as a church. Used in conjunction with amenity=place_of_worship, religion=* , denomination=* and landuse=religious for the church grounds where it is in current use.;
kingdom hall;3;building;religious;kingdom hall;A building that was built as a Kingdom Hall. Often used in conjunction with amenity=place_of_worship, religion=christian, denomination=jehovahs_witness and landuse=religious for the grounds where it is in current use.;
monastery;3;building;religious;monastery;A building constructed as monastery. Often, monasteries consist of several distinct buildings with specific functions. For active monasteries (communities), use amenity=monastery, for the grounds of a former monastery, have a look at historic=monastery;
mosque;3;building;religious;mosque;A building errected as mosque. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use.;
presbytery;3;building;religious;presbytery;A building where priests live and work.;
shrine;3;building;religious;shrine;A building that was built as a shrine. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use. Small structures should consider historic=wayside_shrine.;
